antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'CONSULTAS_4.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.606018294928011,1.0,0.606018294928011,1.0,1.0,1.0,0.0,inf,0.0,0.606018294928011,0.0,0.8030091474640055
"frozenset({'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.7342644970329318,1.0,0.7342644970329318,1.0,1.0,1.0,0.0,inf,0.0,0.734264497032932,0.0,0.8671322485164659
"frozenset({'ESTCIVMAE_5.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.789531820072778,1.0,0.789531820072778,1.0,1.0,1.0,0.0,inf,0.0,0.7895318200727781,0.0,0.894765910036389
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.7772570996848835,1.0,0.7772570996848835,1.0,1.0,1.0,0.0,inf,0.0,0.7772570996848835,0.0,0.8886285498424418
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'PESO_2.0', 'MESPRENAT_1.0'})","frozenset({'PARTO_2.0', 'APGAR5_3.0'})",0.6114407853525814,0.9809447757125984,0.6047128805665403,0.9889966372096661,1.008208271960283,1.0,0.004923236517317298,1.7317637026510693,0.02095290617382319,0.6122604102618724,0.42255401330496145,0.8027281474080152
"frozenset({'ESTCIVMAE_5.0', 'GESTACAO_3.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'APGAR5_3.0'}),0.6114407853525814,0.9809447757125984,0.6047128805665403,0.9889966372096661,1.008208271960283,1.0,0.004923236517317298,1.7317637026510693,0.02095290617382319,0.6122604102618724,0.42255401330496145,0.8027281474080152
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'MESPRENAT_1.0', 'ESTCIVMAE_5.0', 'PARTO_2.0'})",frozenset({'APGAR5_3.0'}),0.6114407853525814,0.9809447757125984,0.6047128805665403,0.9889966372096661,1.008208271960283,1.0,0.004923236517317298,1.7317637026510693,0.02095290617382319,0.6122604102618724,0.42255401330496145,0.8027281474080152
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'PARTO_2.0', 'MESPRENAT_1.0'})",frozenset({'APGAR5_3.0'}),0.665794796513157,0.9809447757125984,0.6584548293158768,0.9889756314772654,1.008186858183564,1.0,0.005346901979662921,1.7284640157035456,0.024297580400841342,0.6662602393082994,0.42145165249913236,0.8301105977844152
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'APGAR5_3.0'}),0.665794796513157,0.9809447757125984,0.6584548293158768,0.9889756314772654,1.008186858183564,1.0,0.005346901979662921,1.7284640157035456,0.024297580400841342,0.6662602393082994,0.42145165249913236,0.8301105977844152
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'MESPRENAT_1.0'})","frozenset({'PARTO_2.0', 'APGAR5_3.0'})",0.665794796513157,0.9809447757125984,0.6584548293158768,0.9889756314772654,1.008186858183564,1.0,0.005346901979662921,1.7284640157035456,0.024297580400841342,0.6662602393082994,0.42145165249913236,0.8301105977844152
